"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/6e593335-c2f3-4227-bc0d-34634472cf0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Northernlion","318480","45","7150","7077","740520","true","false","English",""
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/42edd801-5b7e-470d-9bdc-47eca00ae114-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Stanz","33405","105","429","318","169939","true","false","English",""
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/9c66174f-7c5d-4bb7-b9f7-16058fb01f6c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Vantter","1560","210","12","7","2869","false","true","Spanish",""
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/1be3631e-183b-4074-acce-96f7b73a56e3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","WhyNoobsWhy","1425","180","12","8","835","false","false","French",""
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/a4c45067-50c2-4e61-aace-ce7635ce7454-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MayShadowFaxGG","795","135","11","6","2929","false","false","English",""
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/d43444ed-c899-48a9-aab9-e27b9d5a83e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","xTommy69ERx","780","30","28","26","4626","false","true","English",""
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/7a10420b-c991-4501-9b20-d284e2a6dcf5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bubsklaut","675","30","26","23","1473","false","false","Portuguese",""
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/acdbae71-212b-4dd3-b750-7ad5511a1244-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","La_Ferme_de_Karpe","660","30","22","22","545","false","false","French",""
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/c214c241-4c8a-4bbe-b9ce-09babb957230-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","davelevelsup","645","165","5","4","1113","false","true","English",""
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/754a23b3-4095-4925-a511-26bf6907fc1e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Keyphsie","615","105","11","6","1976","false","true","French",""
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/stingx2-profile_image-0716c0c6bf40b3d9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StingX2","585","30","22","20","1401","false","true","English",""
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/ed56142e-5559-427f-9c8a-4f12de9a02ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bilrard","570","75","8","8","301","false","false","English",""
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/e73c868a-0c5e-4382-819d-2b10019e6a4c-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","braddestchad","540","150","6","4","652","false","true","English",""
